teamName,privateScore,privateRank,publicScore,publicRank,rankDiff,attempts
Teslearn,0.09164,62,0.12488,57,-5,58
Donovan Ray,0.09161,63,0.05777,585,522,13
Just overfit it!,0.09154,64,0.12468,58,-6,32
Tianyun Jiang 0605,0.09134,65,0.10507,170,105,23
cat_robot_22,0.09122,66,0.12407,60,-6,30
Meme,0.09118,67,0.12426,59,-8,41
LQA,0.09096,68,0.07995,385,317,15
Crypto Crushers,0.09093,69,0.10515,167,98,39
没主人的公狗,0.09081,70,0.11744,85,15,32
MrsHope,0.09079,71,0.09510,253,182,10
Adamsun95,0.09061,72,0.12319,63,-9,56
Goose-Arse,0.09043,73,0.09771,231,158,7
KHN Long,0.09021,74,0.12314,64,-10,59
Yuheng Jia,0.08999,75,0.09429,257,182,18
Centmils,0.08997,76,0.12297,65,-11,32
CryptoMiners,0.08992,77,0.12210,69,-8,22
[Deleted] 927a8f99-d97f-4fd7-adc1-67a5aa3c8b06,0.08987,78,0.07055,468,390,3
Hao Guan,0.08987,79,0.09419,258,179,8
randomtile,0.08971,80,0.13240,35,-45,71
Rocks,0.08967,81,0.12258,66,-15,44
Cui Danyao,0.08958,82,0.08328,350,268,7
Elieazer Maru,0.08946,83,0.06738,497,414,9
Sedat GOLGİYAZ,0.08925,84,0.12665,45,-39,51
YannFb,0.08904,85,0.09760,233,148,36
little_gold_fish,0.08903,86,0.07373,435,349,14
friyuval,0.08896,87,0.08548,326,239,8
Hmmm,0.08876,88,0.07013,471,383,3
HaoyuSun9983,0.08873,89,0.12159,73,-16,50
Apex,0.08857,90,0.12124,75,-15,12
DRW-CRYPTO,0.08845,91,0.12026,78,-13,54
Team Name,0.08804,92,0.12073,76,-16,65
Phương Nguyễn Việt,0.08785,93,0.07111,463,370,10
aaaowoaaa,0.08771,94,0.09865,222,128,22
Rowan,0.08768,95,0.11949,83,-12,9
Vlad Vieru,0.08760,96,0.07395,431,335,4
XingYe02,0.08737,97,0.08571,323,226,13
Bửu Phạm Quốc,0.08732,98,0.08584,322,224,4
ducnh279,0.08720,99,0.08791,298,199,27
FaizaanGagan,0.08705,100,0.06948,475,375,11
cckaij123,0.08674,101,0.07713,414,313,12
Ern711,0.08630,102,0.09296,269,167,37
079,0.08583,103,0.08518,332,229,12
Evgeny Chubchev,0.08558,104,0.04635,701,597,8
kaijyin,0.08553,105,0.07713,413,308,14
Li JUN YAN RE,0.08531,106,0.10675,142,36,20
Fin_AI,0.08528,107,0.12242,67,-40,55
RollerCoaster,0.08524,108,0.07160,459,351,4
Arthur Garon #2,0.08493,109,0.07080,466,357,1
Matthew Thomas,0.08485,110,0.08646,317,207,13
Jackson Fenner,0.08483,111,0.11252,109,-2,54
easonyanyan,0.08475,112,0.05405,627,515,10
Wendi OUYANG,0.08472,113,0.08406,342,229,13
G.O.D is REAL,0.08463,114,0.11482,95,-19,38
J.B.,0.08439,115,0.10128,201,86,51
katoue,0.08412,116,0.04756,689,573,2
Nandini Wadhwa,0.08402,117,0.07761,409,292,7
Sarah Jeffreson,0.08359,118,0.12350,62,-56,46
skaak,0.08359,119,0.06568,512,393,33
anotherone1211,0.08357,120,0.07016,470,350,2
Monicachen721,0.08354,121,0.14187,24,-97,32
Lina,0.08315,122,0.07190,456,334,1
kueno,0.08305,123,0.10605,148,25,17
hiu,0.08297,124,0.07929,394,270,11
TKM1253,0.08277,125,0.06961,473,348,2
mnonaka3,0.08276,126,0.06960,474,348,2
esz poi,0.08271,127,0.06206,542,415,2
DeusNeo ,0.08241,128,0.11044,124,-4,62
Avinash Yadav,0.08236,129,0.04671,697,568,2
For the Emperor,0.08230,130,0.05858,577,447,4
15,0.08229,131,0.07652,419,288,2
Ayush Savaliya,0.08193,132,0.09012,284,152,23
[Deleted] 5a4459aa-1140-4da9-8c87-ac7c359c4349,0.08193,133,0.11584,87,-46,18
azarther,0.08190,134,0.07778,407,273,12
martin yip,0.08187,135,0.09154,274,139,63
persil,0.08158,136,0.07109,464,328,7
Vroun,0.08129,137,0.10058,207,70,23
dorian,0.08106,138,0.08622,318,180,20
Nadia TRIKI,0.08062,139,0.07923,395,256,3
LOSTCOMP,0.08060,140,0.08343,348,208,48
ArthurXjtu,0.08052,141,0.07471,430,289,3
[Deleted] 8b9e007c-bf0a-46e4-85f5-2047afe10515,0.08013,142,0.15189,6,-136,69
Billys J Ciprian,0.08012,143,0.06921,480,337,12
JWLINi,0.08007,144,0.11503,94,-50,39
Jimmy Wang,0.08005,145,0.10275,193,48,32
Joseph Shih 0912,0.07978,146,0.07850,399,253,16
Overvalue Awareness,0.07951,147,0.10481,173,26,36
Tencyfy,0.07943,148,0.09839,226,78,17
prash4nt,0.07931,149,0.07887,398,249,8
Alp Potuk,0.07911,150,0.10280,192,42,6
Fallen_Knight576,0.07910,151,0.05694,594,443,5
MoMoRoRR,0.07906,152,0.09112,277,125,3
Linstyle,0.07903,153,0.11504,93,-60,42
Josip Vukušić,0.07871,154,0.09873,220,66,18
Eriko,0.07845,155,0.08525,329,174,5
DRWupupup,0.07833,156,0.10117,202,46,14
MICADEE,0.07833,157,0.06448,523,366,7
TomoyaM,0.07829,158,0.06829,487,329,8
SCRIPTCHEF,0.07819,159,0.08652,316,157,28
Dunyuan Zha,0.07815,160,0.10000,208,48,21
Qianhao Zhang,0.07807,161,0.09335,268,107,4
The order of the test rows 2,0.07789,162,0.09504,255,93,59
Ubayd & Marcus,0.07783,163,0.10744,136,-27,34
helplight,0.07780,164,0.07832,402,238,5
aurora3333,0.07774,165,0.04536,708,543,9
FuzzyLazy,0.07757,166,0.06315,533,367,28
FML,0.07723,167,0.07973,387,220,11
Amos Fang,0.07718,168,0.07621,422,254,1
Apocalypse,0.07700,169,0.09873,221,52,1
InterviewUs,0.07695,170,0.05271,639,469,6
SullyCastro,0.07656,171,0.08768,305,134,31
Qamar math,0.07647,172,0.09906,219,47,71
OrigiDiv,0.07641,173,0.07846,400,227,20
Rikuto MORI,0.07640,174,0.07827,403,229,6
Ayaka Kirima,0.07612,175,0.09851,224,49,7
Nick Mo1243,0.07604,176,0.09766,232,56,8
[Deleted] 62527694-e1b4-410c-b7d2-2013eb32e9e4,0.07588,177,0.15201,5,-172,19
o_O,0.07587,178,0.09064,281,103,7
jieming kong,0.07587,179,0.10526,164,-15,2
jiang tianyun,0.07584,180,0.08837,293,113,10
Rafael Ayllón Gavilán,0.07573,181,0.06676,501,320,2
Mr Unix Server,0.07562,182,0.12210,71,-111,64
Bright,0.07560,183,0.06464,522,339,14
chisquared,0.07557,184,0.09738,235,51,7
JordanYHChan,0.07552,185,0.09180,272,87,39
ricecooker,0.07524,186,0.12210,70,-116,31
Angus King,0.07510,187,0.08287,355,168,10
Hare & Koala,0.07498,188,0.10631,145,-43,16
[Deleted] 9e84c012-596c-41dd-b7b0-83d87a9762b0,0.07495,189,0.14758,14,-175,20
hbht03,0.07493,190,0.07942,392,202,2
[Deleted] de0ec741-c11f-4dcc-9b2b-e71f4a4bfa50,0.07484,191,0.13853,30,-161,9
giras,0.07479,192,0.06797,491,299,12
Sadık Kaçakçı,0.07446,193,0.05939,565,372,2
shih_3333,0.07438,194,0.10436,177,-17,6
Xiaojian Gao,0.07423,195,0.12062,77,-118,33
Jamal Saeedi,0.07405,196,0.08780,302,106,20
TruthMiner,0.07392,197,0.05169,649,452,7
qiqi1996amelia,0.07377,198,0.07749,411,213,5
mohsen2050,0.07366,199,0.11233,111,-88,80
Alseth,0.07364,200,0.03657,773,573,4
NikitaChurkin (clean sub),0.07346,201,0.10336,187,-14,32
Michal Krpata,0.07343,202,0.09908,217,15,7
Math Island,0.07325,203,0.13277,34,-169,77
GameQuiter,0.07323,204,0.09847,225,21,21
FuyuhiMa,0.07320,205,0.06088,549,344,9
Feature Master,0.07293,206,0.12017,79,-127,48
EthanD,0.07284,207,0.06392,528,321,6
yehqysns,0.07274,208,0.07058,467,259,3
noobs,0.07261,209,0.07052,469,260,5
maria merino,0.07253,210,0.06629,508,298,2
AVERMA1,0.07246,211,0.08662,312,101,6
mkeriy,0.07243,212,0.08044,371,159,7
Mandy Zhang,0.07237,213,0.07375,433,220,5
Mahdi Ravaghi,0.07214,214,0.06511,514,300,8
turtle,0.07213,215,0.07292,440,225,8
Semyon Epanov,0.07204,216,0.07225,447,231,3
Xuehui Liu,0.07198,217,0.07304,439,222,2
[Deleted] 73ecdf48-3d03-4637-8ec5-0521f8950399,0.07194,218,0.11525,91,-127,1
[Deleted] 391c89ea-a7b0-4d60-a146-6d3f2bbfbf13,0.07194,219,0.11556,89,-130,15
SeminLee(Leo Lee),0.07187,220,0.04968,659,439,6
Artur M,0.07186,221,0.07211,451,230,5
Japmunk,0.07174,222,0.10558,154,-68,19
哈基米 and 米基哈,0.07173,223,0.11556,90,-133,4
[Deleted] 3a795ff4-b8eb-4acf-a45d-3368b8d835bb,0.07166,224,0.14083,26,-198,13
Dr. T,0.07164,225,0.10747,135,-90,8
WarpGBM,0.07140,226,0.07191,455,229,6
Rachel,0.07134,227,0.06331,531,304,3
Jialiang Zhou,0.07129,228,0.06200,543,315,4
KoNaDOPT,0.07126,229,0.05977,561,332,8
Jeevesh Banchhor,0.07124,230,0.06275,537,307,10
Lennart Haupts,0.07113,231,0.09210,271,40,42
polysnep,0.07101,232,0.05215,645,413,16
peter,0.07094,233,0.07994,386,153,33
WindClimber,0.07090,234,0.07289,441,207,14
Istri Baik,0.07084,235,0.11369,102,-133,21
yassir limouri,0.07076,236,0.06502,515,279,4
Kemal Kılıçaslan,0.07057,237,0.05840,579,342,22
[Deleted] f178ee42-e0ff-412c-ad38-507c6e95efec,0.07055,238,0.14269,23,-215,9
pub pubpub,0.07046,239,0.06046,556,317,2
Yuyang Wu,0.07043,240,0.10356,185,-55,7
Piyoosh Srivastava,0.07030,241,0.05572,610,369,17
RMMJ,0.07027,242,0.05388,630,388,5
Clean submission,0.07024,243,0.15189,7,-236,66
Zongxi Qiu,0.07018,244,0.07108,465,221,5
igeorgegabriel,0.07008,245,0.06727,498,253,23
XAI_BRMC,0.07005,246,0.06642,507,261,7
Tiantian:),0.07003,247,0.06063,553,306,3
ZULQAR.,0.06979,248,0.05622,603,355,5
WANGLE66,0.06971,249,0.04513,712,463,1
Bernat Cots Sesmilo,0.06963,250,0.10726,138,-112,22
zzz,0.06961,251,0.08662,313,62,10
Joel Alves,0.06955,252,0.07354,436,184,9
[Deleted] 842176c8-a0b9-45bc-8536-958c1075909e,0.06947,253,0.14504,18,-235,74
Curtis,0.06943,254,0.09576,251,-3,23
Mr RRR,0.06940,255,0.07172,458,203,6
[Deleted] 9d6c0505-0447-40e7-9ea1-94da80bab867,0.06931,256,0.14340,21,-235,67
[Deleted] 919e4bd6-28ec-458a-a5df-0898ff4d6d3a,0.06915,257,0.14343,20,-237,4
Reg Edwards,0.06908,258,0.06412,526,268,10
BigdataW,0.06892,259,0.07253,445,186,1
Jay Salvi,0.06886,260,0.06318,532,272,12
[Deleted] 06d48ee8-b3fd-4b1c-a981-1547244cd186,0.06869,261,0.09105,278,17,5
Junhan Zhang,0.06867,262,0.07250,446,184,10
[Deleted] eecdd588-2436-4b40-b1ec-3e1a73ef2334,0.06863,263,0.14105,25,-238,51
last_la_yaru_winner,0.06860,264,0.10866,130,-134,20
[Deleted] 80e23d45-1cec-42e6-a9c0-45157de56fcc,0.06860,265,0.10866,131,-134,7
[Deleted] 88fb3dae-4e39-4e56-a966-cb6727139c2d,0.06860,266,0.14349,19,-247,4
DannyDog1227,0.06858,267,0.07260,444,177,24
gne931,0.06856,268,0.02879,800,532,2
Sigma Algebra,0.06852,269,0.10418,179,-90,8
hjhhjjj,0.06837,270,0.10563,153,-117,4
PK1221KP,0.06835,271,0.06694,499,228,3
kjkjkji,0.06830,272,0.05011,658,386,5
Mudit Gaur,0.06827,273,0.09982,212,-61,3
Jack,0.06822,274,0.10690,141,-133,29
christopher obuchere,0.06811,275,0.07199,454,179,26
He Yuanyang723,0.06808,276,0.09626,248,-28,47
灵感古力古力哇擦,0.06804,277,0.10711,139,-138,15
Rhodes Island,0.06801,278,0.08105,369,91,18
CHSTO,0.06792,279,0.05924,569,290,3
theghost,0.06780,280,0.10508,169,-111,22
Kirderf,0.06770,281,0.04136,735,454,6
Taaran,0.06758,282,0.07699,415,133,11
Creeon,0.06751,283,0.06580,510,227,10
cwang900726,0.06742,284,0.05406,626,342,5
John Annis,0.06742,285,0.09907,218,-67,7
Jianhui0706,0.06741,286,0.08275,356,70,9
Elias Roubache,0.06736,287,0.08129,367,80,7
yuanyang he,0.06734,288,0.09575,252,-36,21
YEZIHAN,0.06733,289,0.09349,262,-27,21
SergeiTikhonovUT,0.06733,290,0.10418,180,-110,4
SunSky-He,0.06724,291,0.11341,103,-188,15
Ronit Das,0.06710,292,0.03689,770,478,6
💥Boom💥,0.06708,293,0.05781,584,291,8
Growingduck,0.06702,294,0.06419,525,231,6
papayiv,0.06691,295,0.04794,685,390,6
Artificial Gains,0.06682,296,0.05784,583,287,15
Jayanti Khandavilli,0.06677,297,0.05904,575,278,51
[Deleted] b56b0d61-2df5-486d-9498-cf588a35faad,0.06674,298,0.15066,10,-288,43
zhongtian,0.06671,299,0.06491,517,218,31
[Deleted] a525f7d5-ec5a-4645-aef6-df491968c3f7,0.06668,300,0.10654,143,-157,7
Mir,0.06644,301,0.10344,186,-115,37
[Deleted] 7c9985c3-9f02-41c5-9343-bcf717634534,0.06643,302,0.14317,22,-280,62
Nguyen,0.06642,303,0.11558,88,-215,5
L.lawliet_12345,0.06639,304,0.10133,200,-104,27
Paritosh Kumar Tripathi,0.06628,305,0.07324,438,133,1
QinglongLi,0.06622,306,0.10952,127,-179,3
Hebedoglover,0.06622,307,0.14075,27,-280,44
Snow Yan,0.06617,308,0.05664,599,291,11
herry,0.06613,309,0.09508,254,-55,19
Harsh Malgatte,0.06606,310,0.10552,159,-151,32
Guilherme Santos,0.06603,311,0.05041,657,346,4
FEFE,0.06602,312,0.05333,637,325,5
my submissions are clean,0.06601,313,0.13299,33,-280,4
Daaaaaan,0.06597,314,0.10420,178,-136,3
[Deleted] 5ceda42d-576c-4f59-a073-1bdb6c3d6294,0.06592,315,0.13798,32,-283,5
Mike Dean,0.06588,316,0.11467,96,-220,10
Shaozhe Hao,0.06588,317,0.11467,97,-220,35
Luke Kennedy,0.06577,318,0.09982,209,-109,26
Sheyda Asadi,0.06577,319,0.09982,210,-109,5
wuliao_0,0.06577,320,0.09982,211,-109,2
Bassil Bassiouny,0.06577,321,0.09982,213,-108,3
Edmund870,0.06567,322,0.10221,197,-125,21
Not_Null,0.06553,323,0.08451,339,16,12
XuFei Lu,0.06550,324,0.05250,641,317,1
Mahabub Alahi Atik,0.06548,325,0.00624,914,589,2
Zhaoli Cao,0.06548,326,0.10548,160,-166,3
Ricky The Ising,0.06547,327,0.08371,345,18,9
Matej Kamenicky,0.06515,328,0.04916,668,340,12
József Molnos,0.06514,329,0.07759,410,81,4
[Deleted] e45aed0c-ad99-428f-9b46-89ba84409351,0.06510,330,0.11118,116,-214,59
muji,0.06509,331,0.06665,502,171,7
Alexander Ershov,0.06508,332,0.07203,453,121,12
Cartethyia,0.06504,333,0.09339,266,-67,8
TG,0.06482,334,0.05374,632,298,2
mangolalala,0.06480,335,0.07948,390,55,2
NicoleLF,0.06457,336,0.11101,118,-218,35
ph_one1,0.06450,337,0.04954,665,328,6
Noob Quant Traders,0.06449,338,0.06010,558,220,29
yuz0101,0.06445,339,0.07717,412,73,3
Data Team,0.06434,340,0.11306,108,-232,28
linkedin.com/in/terence-siu,0.06420,341,0.10590,149,-192,43
Ahmed Osman,0.06400,342,0.10738,137,-205,64
yone huang,0.06388,343,0.04315,724,381,2
Миллионы Лет Овуляции (MLOps),0.06380,344,0.09037,283,-61,16
hanyi,0.06379,345,0.04901,670,325,6
FUWA,0.06379,346,0.05682,596,250,5
BEJJALA Mani Sai Teja,0.06343,347,0.07798,405,58,51
John Mitchell,0.06331,348,0.08032,380,32,9
seowoohyeon,0.06317,349,0.09084,279,-70,5
Evgeniy Molozhenko,0.06302,350,0.08220,359,9,12
Mokhithraa,0.06300,351,0.10232,195,-156,2
W,0.06288,352,0.05766,587,235,5
yangdon tshering,0.06286,353,0.10533,163,-190,54
MINGJIE ZHANG0621,0.06267,354,0.06616,509,155,5
caichequming,0.06266,355,0.08773,303,-52,3
entro1024,0.06266,356,0.08773,304,-52,6
Arpit Yadav,0.06257,357,0.10195,199,-158,4
Meet Babariya,0.06248,358,0.11128,114,-244,14
Sunshine Rainbow White Pony,0.06246,359,0.08291,354,-5,4
YiranSun0921,0.06236,360,0.04768,688,328,3
Larry Wang,0.06225,361,0.10578,150,-211,1
Sai Adhithya,0.06220,362,0.07131,460,98,2
guo wei,0.06219,363,0.10521,166,-197,5
Unicorn,0.06218,364,0.11056,123,-241,20
CapitainData,0.06212,365,0.08113,368,3,7
Aruansh Khare,0.06212,366,0.09973,215,-151,5
Diamond Hands,0.06211,367,0.05534,615,248,23
Chengzhuo Zhang,0.06211,368,0.09753,234,-134,1
Gaaiyun,0.06207,369,0.10361,184,-185,4
heigaga,0.06193,370,0.08369,346,-24,17
jdcl945,0.06192,371,0.11518,92,-279,74
Rola Islait,0.06189,372,0.06053,554,182,1
GAMECHR,0.06182,373,0.10555,155,-218,37
Blue kangaroo,0.06182,374,0.10555,156,-218,4
TS1989,0.06182,375,0.10555,157,-218,2
Riri,0.06168,376,0.05241,642,266,3
Harshit,0.06167,377,0.08032,373,-4,2
theGreatKaggleKing,0.06167,378,0.09347,264,-114,8
Kunal Aarse,0.06167,379,0.08032,374,-5,6
OzanM.,0.06167,380,0.08032,375,-5,64
Alex GUAN,0.06167,381,0.08032,376,-5,20
Bakuer30,0.06167,382,0.08356,347,-35,185
daidary,0.06167,383,0.08032,377,-6,6
Nebula Capital,0.06167,384,0.08032,378,-6,4
Debarupa Sinha,0.06167,385,0.08032,379,-6,2
FunkyBoy,0.06167,386,0.08032,381,-5,7
William Guesdon,0.06167,387,0.08780,300,-87,8
DATA-X,0.06167,388,0.08032,382,-6,4
ham_ham,0.06167,389,0.08032,383,-6,9
meijieyue2025,0.06167,390,0.09127,275,-115,3
Sebastian Castaño Cruz,0.06167,391,0.08032,372,-19,2
Derya Umut Kulali,0.06167,392,0.08032,384,-8,5
Mohamed Gamal,0.06153,393,0.10566,152,-241,17
[Deleted] d3c457ba-0309-4872-91e1-d89197b5a978,0.06152,394,0.08136,366,-28,7
stanislas Brd,0.06149,395,0.07659,418,23,5
saisai6567,0.06144,396,0.04795,683,287,3
somyamehta_24,0.06141,397,0.07184,457,60,3
daukalet,0.06135,398,0.05955,563,165,3
Siddhuj81,0.06134,399,0.04574,705,306,4
congx1,0.06121,400,0.05589,608,208,6
Toby,0.06115,401,0.10103,205,-196,37
[Deleted] 775c9912-f8e1-48b7-83c8-7bc0198cbe12,0.06113,402,0.09396,260,-142,2
Icey Qin,0.06109,403,0.03719,769,366,11
TO,0.06107,404,0.10835,132,-272,11
Charbel Nehme,0.06105,405,0.04777,687,282,26
bestwater,0.06098,406,0.05852,578,172,6
Fondry,0.06095,407,0.05108,654,247,11
Sourav Saini,0.06090,408,0.06381,529,121,4
TwoYOneS,0.06085,409,0.10917,128,-281,11
jasonzhao1039,0.06076,410,0.08517,333,-77,9
HADESDEVIL,0.06073,411,0.09348,263,-148,82
Shichao0824,0.06068,412,0.09073,280,-132,28
Al wan na,0.06065,413,0.08955,287,-126,9
MersadA,0.06060,414,0.07945,391,-23,1
Ln Chtgnlt,0.06053,415,0.08227,358,-57,12
Tourists,0.06051,416,0.06049,555,139,29
Taylor S. Amarel,0.06048,417,0.10552,158,-259,34
Adi Kusuma,0.06040,418,0.10200,198,-220,16
Subham8950,0.06038,419,0.03347,782,363,8
有点小困呢S,0.06035,420,0.08340,349,-71,6
georgexue666,0.06031,421,0.06100,548,127,5
Martin0421,0.06011,422,0.15154,9,-413,39
[Deleted] fb8900c2-b05d-44af-bfb2-220d771704aa,0.06007,423,0.08506,335,-88,12
harsh@mankar,0.05994,424,0.06559,513,89,3
wimbley,0.05994,425,0.03809,764,339,1
TA HUU ANH,0.05993,426,0.05909,574,148,1
CryptoPlayer,0.05978,427,0.10578,151,-276,2
EmilyYX,0.05978,428,0.05103,655,227,1
ZephyrineY,0.05978,429,0.06152,547,118,9
pratice,0.05968,430,0.05921,570,140,2
[Deleted] 9842d976-b12e-4304-9f4b-167cb8a8bef3,0.05964,431,0.14511,17,-414,73
Peggys11,0.05964,432,0.15026,12,-420,68
我不是奶龙,0.05960,433,0.11373,101,-332,10
Shane Wang,0.05959,434,0.10620,146,-288,1
Cem Karışlı,0.05958,435,0.06578,511,76,9
eryue shisi,0.05956,436,0.06085,551,115,2
[Deleted] 63f008a3-2489-44d2-acbd-8da0113064e2,0.05943,437,0.09798,229,-208,18
AryaKrishna@MON,0.05938,438,0.06206,541,103,13
[Deleted] 03968296-7d1c-4584-b1d2-6ebe14c22daa,0.05935,439,0.10111,203,-236,14
T Amarel Tech,0.05929,440,0.10607,147,-293,17
ransid1,0.05927,441,0.05892,576,135,7
mxiaoooo,0.05914,442,0.10404,182,-260,25
Dr. Michael Kuszpa,0.05902,443,0.04525,711,268,6
Bitcoin,0.05888,444,0.05920,571,127,3
Two Brothers,0.05888,445,0.12001,80,-365,49
Misha Shikhov,0.05883,446,0.08780,301,-145,9
Inga Kuznetsova,0.05873,447,0.08383,344,-103,19
Cyrin Neeraj,0.05867,448,0.04740,690,242,2
justin1357,0.05846,449,0.10288,191,-258,3
ujjal kumar Mahato,0.05843,450,0.05346,635,185,1
L & L,0.05843,451,0.05346,636,185,1
CatCapital,0.05838,452,0.11122,115,-337,27
Vicki Mu,0.05838,453,0.05257,640,187,6
aha_Yann Zhenxuan,0.05826,454,0.11063,121,-333,27
Maaz Khan,0.05811,455,0.03980,750,295,14
Marius Heuser,0.05799,456,0.06474,520,64,2
Barinka Batista,0.05793,457,0.06759,494,37,5
Elliot Qiao,0.05790,458,0.08474,338,-120,3
Tang Dynasty,0.05787,459,0.07212,450,-9,7
vivchik,0.05785,460,0.06900,483,23,21
sanebow,0.05781,461,0.07283,442,-19,2
[Deleted] 781a8409-0971-4f38-855c-7ff922fd87b9,0.05779,462,0.13986,29,-433,64
thegghost,0.05772,463,0.09342,265,-198,4
angus4718,0.05760,464,0.07970,389,-75,4
Yihan Guo,0.05760,465,0.07970,388,-77,6
[Deleted] 5a8e53b0-01b1-4ffb-8cf7-6f8e607c3819,0.05758,466,0.06156,546,80,7
Old Monks,0.05750,467,0.10465,174,-293,5
Cathy,0.05749,468,0.10811,133,-335,8
Hgvv Hgbbb,0.05747,469,0.06687,500,31,9
Yilin Gu0930,0.05741,470,0.10300,189,-281,24
KLE Hecker's,0.05741,471,0.10300,190,-281,19
JM,0.05739,472,0.05927,567,95,5
PRIYANSHU PRAJAPATI,0.05735,473,0.03872,754,281,3
Yesss!,0.05718,474,0.10974,126,-348,16
Carlos Mendoza II,0.05716,475,0.09365,261,-214,2
[Deleted] ff1b96bf-34be-41c9-a898-d1a036e5357c,0.05715,476,0.04866,672,196,15
Vasu Verma,0.05698,477,0.12151,74,-403,66
Martin Szerment,0.05693,478,0.05590,607,129,10
jameswww,0.05690,479,0.10379,183,-296,3
KMeancluster,0.05688,480,0.06357,530,50,5
sinkin67,0.05678,481,0.07013,472,-9,15
Lonmmy Lai,0.05673,482,0.03224,791,309,1
Croasset,0.05652,483,0.11408,100,-383,16
ArtificialChicken,0.05650,484,0.02788,805,321,4
Salim Dohri,0.05641,485,0.06299,535,50,1
Ankush Pandit,0.05634,486,0.04071,742,256,1
zachary1031,0.05605,487,0.04929,666,179,2
tsl99us,0.05602,488,0.04914,669,181,4
Nathan Liu,0.05601,489,0.09155,273,-216,5
Kirin,0.05589,490,0.04481,713,223,4
🤡狗头哥🤡,0.05568,491,0.10254,194,-297,10
Max,0.05551,492,0.09579,250,-242,8
Harshopopji,0.05534,493,0.03817,761,268,1
GraceLfd,0.05518,494,0.11084,120,-374,14
Aphrodite,0.05507,495,0.05799,582,87,5
A.K.NITHIN,0.05507,496,0.06751,496,0,10
Not Found 510,0.05501,497,0.03879,753,256,1
pinoystat,0.05498,498,0.07819,404,-94,16
Awais5067,0.05497,499,0.06496,516,17,5
franck,0.05494,500,0.03246,790,290,1
Kevin LUO,0.05490,501,0.04140,734,233,1
MINGXUAN GAO 621,0.05481,502,0.10452,175,-327,7
isinsu,0.05478,503,0.11195,112,-391,43
Strange Paul,0.05473,504,0.11457,98,-406,22
